2025-12-03T08:38:57.887Z "tr69hostif"[3725]:  rdk_dyn_log_initg_dl_socket = 3 __progname = tr69hostif
2025-12-03T08:38:57.890Z "tr69hostif"[3725]:  Conf file /etc/debug.ini open success
2025-12-03T08:38:57.890Z "tr69hostif"[3725]:  251203-08:38:57.890415 [mod=TR69HOSTIF, lvl=NOTICE] [tid=3725] Starting tr69HostIf Service
2025-12-03T08:38:57.895Z "tr69hostif"[3725]:  IARM_Init group name = com.comcast.rdk.iarm.bus member name = tr69HostIfMgr
2025-12-03T08:38:57.926Z "tr69hostif"[3725]:  setting init done
2025-12-03T08:38:57.926Z "tr69hostif"[3725]:  251203-08:38:57.926756 [mod=TR69HOSTIF, lvl=INFO] [tid=3725] [TR69_HostIf_Mgr_Init:164]: created getPwrContInterface thread..
2025-12-03T08:38:57.927Z "tr69hostif"[3725]:  Registering tr69HostIfMgr
2025-12-03T08:38:57.940Z "tr69hostif"[3725]:  251203-08:38:57.940781 [mod=TR69HOSTIF, lvl=INFO] [tid=3725] Entering data model merge process
2025-12-03T08:38:57.941Z "tr69hostif"[3725]:  251203-08:38:57.941312 [mod=TR69HOSTIF, lvl=INFO] [tid=3725] RDKE: Merging XML files for profile: STB
2025-12-03T08:38:57.962Z "tr69hostif"[3725]:  251203-08:38:57.962805 [mod=TR69HOSTIF, lvl=INFO] [tid=3725] Merged XML files successfully into /tmp/data-model.xml
2025-12-03T08:38:57.962Z "tr69hostif"[3725]:  251203-08:38:57.962858 [mod=TR69HOSTIF, lvl=INFO] [tid=3725] RDKE: Merged XML written to /tmp/data-model.xml
2025-12-03T08:38:57.963Z "tr69hostif"[3725]:  251203-08:38:57.962879 [mod=TR69HOSTIF, lvl=INFO] [tid=3725] Successfully merged Data Model.
2025-12-03T08:38:57.988Z "tr69hostif"[3725]:  251203-08:38:57.982858 [mod=TR69HOSTIF, lvl=INFO] [tid=3725] Successfully initialize Data Model.
2025-12-03T08:38:57.988Z "tr69hostif"[3725]:  251203-08:38:57.983491 [mod=PARODUSIF, lvl=INFO] [tid=3725] Notify Configuration file set /etc/notify_webpa_cfg.json
2025-12-03T08:38:57.988Z "tr69hostif"[3725]:  251203-08:38:57.983599 [mod=TR69HOSTIF, lvl=INFO] [tid=3725] Initiating Connection with PARODUS success..
2025-12-03T08:38:57.988Z "tr69hostif"[3725]:  251203-08:38:57.983761 [mod=TR69HOSTIF, lvl=INFO] [tid=3725] [init_rbus_dml_provider] [rbusdml] The rbus_checkStatus() is Enabled (0).
2025-12-03T08:38:57.988Z "tr69hostif"[3725]:  251203-08:38:57.983800 [mod=RBUS, lvl=INFO] [tid=3725] rbus open for component: tr69hostif
2025-12-03T08:38:57.988Z "tr69hostif"[3725]:  251203-08:38:57.985467 [mod=RBUS, lvl=INFO] [tid=3725]  rbus open (tr69hostif) success
2025-12-03T08:38:58.039Z "tr69hostif"[3725]:  251203-08:38:58.038374 [mod=TR69HOSTIF, lvl=INFO] [tid=3821] [../../../../git/src/hostif/handlers/src/hostIf_EthernetClient_ReqHandler.cpp:checkForUpdates] Got lock..
2025-12-03T08:38:58.041Z "tr69hostif"[3725]:  251203-08:38:58.039583 [mod=TR69HOSTIF, lvl=INFO] [tid=3725] [init_rbus_dml_provider:488][rbusdml]Successfully get the complete parameter list, the Parameter counts is = 914
2025-12-03T08:38:58.060Z "tr69hostif"[3725]:  251203-08:38:58.057084 [mod=TR69HOSTIF, lvl=INFO] [tid=3821] [releaseLock:134] Unlocking mutex...
2025-12-03T08:38:58.065Z "tr69hostif"[3725]:  251203-08:38:58.064462 [mod=PARODUSIF, lvl=INFO] [tid=3822] libparodus_init with parodus url tcp://127.0.0.1:6666 and client url tcp://127.0.0.1:6667
2025-12-03T08:38:58.068Z "tr69hostif"[3725]:  251203-08:38:58.067981 [mod=TR69HOSTIF, lvl=INFO] [tid=3819] SERVER: Started server successfully.
2025-12-03T08:38:58.321Z "tr69hostif"[3725]:  251203-08:38:58.321866 [mod=TR69HOSTIF, lvl=INFO] [tid=3821] [releaseLock:147] Unlocking mutex...
2025-12-03T08:38:58.344Z "tr69hostif"[3725]:  251203-08:38:58.344733 [mod=TR69HOSTIF, lvl=INFO] [tid=3821] [getNumOfProcessEntries:213] Unlocking mutex...
2025-12-03T08:38:58.870Z "tr69hostif"[3725]:  251203-08:38:58.870422 [mod=TR69HOSTIF, lvl=INFO] [tid=3821] [releaseLock:173] Unlocking mutex...
